,index,election_year,state_x,transaction_amt,totalspend_yr_st,spend_share,election_year_ds,party_simplified,candidatevotes,percentvote,writein_sum,totalvotes,writein_mean,won,region,battleground_bool,battleground_margin_avg_pct,shift_bool,shift_int,bellweather_bool,bellweather_pct,swing,democrat_lean_pct,percent_of_total_spend,spend_per_vote
0,0,2004,CA,4310.65,8190.85,52.62762717,11/1/04,DEMOCRAT,6745485,54.30555753,0,12421353,0,1,PACIFIC COAST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,2.57,0.063904226
1,1,2004,CA,3880.2,8190.85,47.37237283,11/1/04,OTHER,166042,1.336746488,1,12421353,0.2,0,PACIFIC COAST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,54.98,2.336878621
2,2,2004,CO,332.39,332.39,100,11/1/04,OTHER,26643,1.251062391,0,2129630,0,0,ROCKY MOUNTAINS,TRUE,5.41,TRUE,2,TRUE,71.43,TRUE,57.14,1.48,1.247569718
3,3,2004,DC,110613.46,118567.63,93.29144894,11/1/04,DEMOCRAT,202970,89.18386896,0,227586,0,1,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,22.65,54.49744297
4,4,2004,DC,2547.27,118567.63,2.148368825,11/1/04,OTHER,3360,1.476364979,1,227586,0.2,0,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,13.59,75.81160713
5,5,2004,DC,5406.9,118567.63,4.560182235,11/1/04,REPUBLICAN,21256,9.339766066,0,227586,0,0,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,22.53,25.43705307
6,6,2004,FL,200,200,100,11/1/04,REPUBLICAN,3964522,52.09751623,0,7609810,0,1,SOUTHEAST,TRUE,2.5,TRUE,4,TRUE,85.71,TRUE,42.86,63.23,0.005044744
7,7,2004,IL,100300,100300,100,11/1/04,DEMOCRAT,2891550,54.82316021,0,5274322,0,1,MIDWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,17.84,3.468727845
8,8,2004,KY,132.06,132.06,100,11/1/04,OTHER,13710,0.763413186,1,1795882,0.25,0,SOUTHEAST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,28.57,0.59,0.963238512
9,9,2004,MA,2885.42,2885.42,100,11/1/04,OTHER,52546,1.794937924,1,2927455,0.2,0,NORTHEAST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,17.15,5.491226735
10,10,2004,MD,500,500,100,11/1/04,OTHER,25035,1.050021013,1,2384238,0.2,0,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,13.59,1.997203915
11,11,2004,MN,360,360,100,11/1/04,OTHER,36678,1.296781522,1,2828387,0.125,0,MIDWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,8.81,0.981514805
12,12,2004,MO,3416.66,3416.66,100,11/1/04,REPUBLICAN,1455713,53.29619194,0,2731364,0,1,MIDWEST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,28.57,14.24,0.234706979
13,13,2004,NH,-20,941.52,-2.124224658,11/1/04,DEMOCRAT,340511,50.20161082,0,678287,0,1,NORTHEAST,TRUE,4.19,TRUE,2,TRUE,71.43,FALSE,14.29,12.19,-0.005873525
14,14,2004,NH,961.52,941.52,102.1242247,11/1/04,OTHER,6539,0.964046193,1,678287,0.333333333,0,NORTHEAST,TRUE,4.19,TRUE,2,TRUE,71.43,FALSE,14.29,17.15,14.70438906
15,15,2004,NY,15650.21,15650.21,100,11/1/04,DEMOCRAT,4180755,56.13058127,0,7448266,0,1,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,22.65,0.374339324
16,16,2004,OH,-814.08,801.27,-101.598712,11/1/04,DEMOCRAT,2741165,48.70668524,0,5627903,0,0,MIDWEST,TRUE,4.21,TRUE,3,TRUE,100,FALSE,57.14,17.84,-0.029698322
